"id","name","description_ar","description_en","platforms","category","tags","level","badges","npm","stars","useCase_ar","useCase_en","imageUrl","createdAt","updatedAt"
46,"react-native-paper","مكتبة Material Design لـ React Native","Material Design components for React Native","{react-native}","ui","{ui,material,components}","beginner","{production-ready,beginner-friendly}","react-native-paper",11500,"لبناء واجهات جميلة بسرعة مع Material Design","Build beautiful UIs quickly with Material Design","/uploads/1770316236006.jpg","2026-02-04 14:00:00","2026-02-05 18:30:36.061"
47,"electron-store","حفظ البيانات المحلية بسهولة في تطبيقات Electron","Simple data persistence for Electron apps","{electron}","storage","{storage,offline,local}","beginner","{production-ready,lightweight}","electron-store",4200,"عندما تحتاج لحفظ إعدادات المستخدم أو بيانات محلية","When you need to save user preferences or local data","/uploads/1770352850726.png","2026-02-04 14:00:00","2026-02-06 04:40:50.785"
48,"framer-motion","مكتبة رسوم متحركة قوية لـ React","Production-ready animation library for React","{nextjs,react-native}","animation","{animation,ui,gestures}","intermediate","{production-ready,powerful}","framer-motion",22000,"لإضافة حركات سلسة وتفاعلية لواجهتك","Add smooth and interactive animations to your UI","/uploads/1770271306647.png","2026-02-04 14:00:00","2026-02-05 06:01:46.689"
49,"axios","عميل HTTP قوي وسهل الاستخدام","Promise-based HTTP client","{electron,nextjs,react-native}","networking","{http,api,requests}","beginner","{production-ready,beginner-friendly,lightweight}","axios",104000,"للتواصل مع APIs وإرسال طلبات HTTP","For API calls and HTTP requests","/uploads/1770270117442.png","2026-02-04 14:00:00","2026-02-05 05:41:57.48"
50,"zustand","إدارة حالة بسيطة وقوية","Small, fast state management","{nextjs,react-native}","state","{state,global,store}","beginner","{lightweight,beginner-friendly}","zustand",43000,"لإدارة الحالة العامة دون تعقيد Redux","Manage global state without Redux complexity","/uploads/1770270394559.jpg","2026-02-04 14:00:00","2026-02-05 05:46:34.633"
51,"react-query","جلب البيانات وإدارة الكاش بشكل احترافي","Powerful data fetching and caching","{nextjs,react-native}","networking","{api,cache,data-fetching}","intermediate","{production-ready,powerful}","@tanstack/react-query",40000,"لإدارة البيانات من API مع كاش ذكي","Manage API data with smart caching","/uploads/1770270706938.jpg","2026-02-04 14:00:00","2026-02-05 05:51:46.997"
52,"shadcn/ui","مكونات UI قابلة للتخصيص بالكامل","Beautifully designed, fully customizable components","{nextjs}","ui","{ui,components,tailwind}","beginner","{production-ready,beginner-friendly}","shadcn-ui",58000,"لبناء واجهات احترافية مع Tailwind CSS","Build professional UIs with Tailwind CSS","/uploads/1770270512927.png","2026-02-04 14:00:00","2026-02-05 05:48:32.972"
53,"prisma","ORM حديث لقواعد البيانات","Next-generation ORM for Node.js","{nextjs,electron}","storage","{database,orm,sql}","intermediate","{production-ready,type-safe}","@prisma/client",37000,"للتعامل مع قواعد البيانات بشكل آمن وسهل","Type-safe database access","/uploads/1770270653799.png","2026-02-04 14:00:00","2026-02-05 05:50:53.841"
54,"electron-builder","بناء وتوزيع تطبيقات Electron","Complete solution to package Electron apps","{electron}","tools","{build,packaging,deploy}","intermediate","{production-ready,essential}","electron-builder",13500,"لتحويل تطبيقك إلى exe, dmg, deb","Package your app as exe, dmg, deb","/uploads/1770316049018.jpg","2026-02-04 14:00:00","2026-02-05 18:27:29.07"
55,"expo","أسرع طريقة لبناء تطبيقات React Native","The fastest way to build React Native apps","{react-native}","tools","{framework,development,tooling}","beginner","{production-ready,beginner-friendly}","expo",29000,"للبدء السريع دون إعداد معقد","Quick start without complex setup","/uploads/1770271165630.webp","2026-02-04 14:00:00","2026-02-05 05:59:25.667"
56,"date-fns","مكتبة حديثة للتعامل مع التواريخ","Modern JavaScript date utility library","{electron,nextjs,react-native}","tools","{date,time,formatting}","beginner","{lightweight,beginner-friendly}","date-fns",33000,"لتنسيق وحساب التواريخ والأوقات","Format and manipulate dates","/uploads/1770270585023.png","2026-02-04 14:00:00","2026-02-05 05:49:45.06"
57,"electron-updater","تحديثات تلقائية لتطبيقات Electron","Auto-updates for Electron apps","{electron}","tools","{updates,auto-update,deploy}","intermediate","{production-ready,essential}","electron-updater",2300,"لتحديث التطبيق تلقائياً للمستخدمين","Auto-update app for users","/uploads/1770352986827.webp","2026-02-04 14:00:00","2026-02-06 04:43:06.869"
58,"recharts","رسوم بيانية تفاعلية لـ React","Composable charting library for React","{nextjs}","ui","{charts,graphs,visualization}","beginner","{beginner-friendly,production-ready}","recharts",23000,"لعرض البيانات في رسوم بيانية جميلة","Display data in beautiful charts","/uploads/1770270802962.jpg","2026-02-04 14:00:00","2026-02-05 05:53:23.016"
59,"react-native-mmkv","تخزين محلي فائق السرعة","Fastest key-value storage for React Native","{react-native}","storage","{storage,performance,local}","beginner","{lightweight,fast}","react-native-mmkv",5800,"لحفظ البيانات المحلية بسرعة فائقة","Ultra-fast local data storage","/uploads/1770352725160.png","2026-02-04 14:00:00","2026-02-06 04:38:45.193"
60,"bcryptjs","تشفير كلمات المرور بشكل آمن","Secure password hashing","{nextjs,electron}","security","{security,password,hash}","beginner","{production-ready,essential}","bcryptjs",2700,"لحفظ كلمات المرور بشكل آمن","Store passwords securely","/uploads/1770352903818.jpg","2026-02-04 14:00:00","2026-02-06 04:41:43.867"
61,"socket.io","مكتبة للتواصل اللحظي بين الخادم والتطبيقات","Library for real-time communication between server and clients","{nextjs,electron,react-native}","networking","{realtime,websocket,socket.io}","intermediate","{widely-used,essential,production-ready}","socket.io",61000,"إنشاء تطبيقات دردشة وبث مباشر لحظي","Building live chat and real-time applications","/uploads/1770314465014.png","2026-02-05 18:01:05.097","2026-02-05 18:01:05.097"
